1.2806,39.214,-0.0068838,-10.352,0.0069443,0.42975,-0.00016404
1.468,39.592,0.13557,-10.326,0.0079495,0.41927,-0.00018825
1.6217,39.933,0.25141,-10.306,0.0086195,0.41071,-0.00020926
1.7463,40.24,0.34377,-10.289,0.0090086,0.40382,-0.00022681
1.8457,40.516,0.41546,-10.277,0.0091649,0.39838,-0.00024089
1.0282,42.963,0.95183,-10.196,0.024346,0.32562,0.00021274
1.2522,42.907,0.90538,-10.25,0.012202,0.33457,-3.4286e-06
1.3519,42.84,0.84992,-10.29,0.0049954,0.34202,-0.00012578
1.3805,42.766,0.79315,-10.32,0.00085655,0.34815,-0.00019175
-0.45109,42.698,0.46154,-10.41,-0.041871,0.33217,-0.00067726
0.43028,42.78,0.67113,-10.481,-0.050468,0.34192,-0.0009782
0.90801,42.816,0.75923,-10.528,-0.054068,0.34929,-0.001128
1.146,42.818,0.78089,-10.557,-0.054581,0.35457,-0.0011862
1.2446,42.795,0.769,-10.573,-0.053226,0.358,-0.00119
-0.7256,42.301,0.13999,-10.467,-0.078017,0.34883,-0.0011843
0.013426,42.263,0.3264,-10.471,-0.082933,0.34952,-0.0014093
0.47473,42.214,0.45255,-10.468,-0.082547,0.34938,-0.0015002
0.7605,42.16,0.54196,-10.46,-0.079102,0.3485,-0.00151
0.93562,42.105,0.60935,-10.45,-0.074005,0.34692,-0.0014722
0.11153,41.904,0.49996,-10.454,-0.044441,0.35407,-0.00075713
0.44757,41.898,0.56629,-10.447,-0.049487,0.34892,-0.00090562
0.66883,41.882,0.63191,-10.437,-0.050146,0.34373,-0.00096501
0.81664,41.861,0.69706,-10.425,-0.048277,0.33849,-0.00097118
0.91706,41.838,0.76181,-10.411,-0.045037,0.33319,-0.00094664
0.51971,41.657,0.80159,-10.305,0.01375,0.33966,0.00026679
0.73949,41.672,0.88663,-10.303,0.0082175,0.33297,0.00010535
0.87545,41.681,0.95959,-10.3,0.005078,0.32645,3.857e-07
0.95797,41.687,1.0253,-10.295,0.0034093,0.32005,-6.8254e-05
1.0064,41.691,1.0869,-10.289,0.0026287,0.31373,-0.00011342
0.38912,41.762,1.1711,-10.169,0.13072,0.32438,0.0026398
0.59452,41.783,1.2439,-10.168,0.067814,0.31466,0.001166
0.68288,41.794,1.2972,-10.165,0.042223,0.30551,0.00056712
0.72799,41.803,1.3472,-10.163,0.030958,0.29704,0.00030341
